# REPORTE DE MEDICIÓN ESTRUCTURAL - GeoStXR
# Fecha: 02/10/2025, 10:30:00
# Sondaje: DDH-AOC-001
# Azimut Sondaje: 60°
# Inclinacion Sondaje: -60°
# UTM Este Collar: 350000.00
# UTM Norte Collar: 6500000.00
# Elevacion Collar: 2000.00
# Profundidad Total: 50000.00 cm (500.00 m)
# Total de Planos: 100

Plano,Profundidad_cm,Profundidad_m,Tipo,Alpha_grados,Beta_grados,Azimuth_grados,BOH_Referencia,P1_X,P1_Y,P1_Z,P2_X,P2_Y,P2_Z,P3_X,P3_Y,P3_Z,Dip_Real_grados,Dip_Direction_grados,UTM_Este_m,UTM_Norte_m,Elevacion_m
11,5500.00,55.00,Falla,0.81,6.09,66.09,BOH1,2.7025,-0.1179,5499.7295,-1.7498,2.6862,5499.9313,-1.0779,-2.6935,5500.1703,89.19,66.09,350023.82,6500013.75,1952.37
12,6000.00,60.00,Contacto,7.03,7.88,67.88,BOH2,3.5759,0.8664,6000.2884,-1.8480,2.6075,5999.9187,-1.5047,-3.2507,5999.9404,82.97,67.88,350025.98,6500015.00,1948.04
13,6500.00,65.00,Fractura,9.81,15.63,75.63,BOH1,2.7174,0.5150,6500.0053,-1.7699,2.7200,6500.0988,-0.5860,-2.8735,6500.2934,80.19,75.63,350028.15,6500016.25,1943.71
14,7000.00,70.00,Veta,1.61,16.97,76.97,BOH2,2.9745,0.8647,6999.8394,-2.7083,1.7792,7000.1849,-0.9853,-3.3629,7000.0149,88.39,76.97,350030.31,6500017.50,1939.38
15,7500.00,75.00,Falla,6.27,2.76,62.76,BOH1,2.9088,-0.1097,7500.2606,-1.3744,3.0137,7499.7369,-1.0436,-2.4132,7500.0226,83.73,62.76,350032.48,6500018.75,1935.05
16,8000.00,80.00,Contacto,2.04,19.30,79.30,BOH1,3.2181,1.2706,7999.7663,-2.7250,1.7525,8000.1567,-0.1156,-2.6456,7999.7955,87.96,79.30,350034.64,6500020.00,1930.72
17,8500.00,85.00,Fractura,8.79,12.37,72.37,BOH2,3.3401,0.9189,8500.2771,-2.1203,2.3651,8500.1078,-1.1741,-3.2383,8499.9802,81.21,72.37,350036.81,6500021.25,1926.39
18,9000.00,90.00,Veta,1.80,8.57,68.57,BOH1,3.6392,0.9727,8999.8221,-2.2053,2.2566,8999.7397,-1.0539,-2.8494,8999.8343,88.20,68.57,350038.97,6500022.50,1922.06
19,9500.00,95.00,Falla,3.29,12.74,72.74,BOH2,3.1378,0.7411,9499.8066,-2.2682,2.2184,9500.0327,-0.8094,-2.8994,9500.0372,86.71,72.74,350041.14,6500023.75,1917.73
20,10000.00,100.00,Contacto,8.74,13.72,73.72,BOH2,2.9399,0.6083,10000.1261,-1.9965,2.4925,10000.2477,-0.8824,-3.0397,9999.7570,81.26,73.72,350043.30,6500025.00,1913.40
21,10500.00,105.00,Fractura,2.11,7.41,67.41,BOH2,3.0910,0.3523,10500.1896,-2.3625,2.0884,10500.1681,-1.2736,-2.9857,10499.8554,87.89,67.41,350045.47,6500026.25,1909.07
22,11000.00,110.00,Veta,8.91,3.95,63.95,BOH2,2.7191,-0.2299,10999.9093,-1.6568,2.7500,11000.1973,-1.3254,-2.7832,10999.7259,81.09,63.95,350047.63,6500027.50,1904.74
23,11500.00,115.00,Falla,6.55,11.97,71.97,BOH1,3.0826,0.6350,11499.8517,-2.2801,2.2038,11499.7244,-0.8797,-2.9160,11499.7722,83.45,71.97,350049.80,6500028.75,1900.41
24,12000.00,120.00,Contacto,1.04,8.89,68.89,BOH2,3.2802,0.6342,11999.9181,-1.9171,2.5476,11999.8925,-1.4208,-3.2394,11999.7857,88.96,68.89,350051.96,6500030.00,1896.08
25,12500.00,125.00,Fractura,7.54,9.88,69.88,BOH2,2.7230,0.1398,12499.8934,-2.3435,2.1287,12499.7629,-0.9506,-2.8396,12500.0171,82.46,69.88,350054.13,6500031.25,1891.75
26,13000.00,130.00,Veta,9.56,179.83,240.17,BOH2,-3.4541,-0.2699,12999.9859,2.0285,-2.3052,13000.0425,1.6288,2.7784,12999.9546,80.44,240.17,350056.29,6500032.50,1887.42
27,13500.00,135.00,Falla,4.76,165.73,254.27,BOH1,-3.5034,0.3564,13499.9815,0.7412,-3.1756,13500.1207,1.8388,1.8958,13499.9821,85.24,254.27,350058.46,6500033.75,1883.09
28,14000.00,140.00,Contacto,5.61,163.85,256.15,BOH1,-3.2999,0.6330,14000.0556,0.3523,-3.4903,14000.0571,2.2115,2.1211,14000.2925,84.39,256.15,350060.62,6500035.00,1878.76
29,14500.00,145.00,Fractura,6.25,179.53,240.47,BOH2,-2.8463,0.3544,14499.8104,1.2042,-3.1234,14499.8593,1.5727,2.6994,14500.1380,83.75,240.47,350062.79,6500036.25,1874.43
30,15000.00,150.00,Veta,5.98,178.78,241.22,BOH2,-3.4815,-0.2397,14999.8333,1.4076,-2.9038,15000.2999,1.8023,2.8720,15000.0611,84.02,241.22,350064.95,6500037.50,1870.10
31,15500.00,155.00,Falla,8.16,163.50,256.50,BOH1,-3.4938,0.4521,15499.8114,0.9031,-2.9254,15500.1359,1.9413,1.8239,15500.0163,81.84,256.50,350067.12,6500038.75,1865.77
32,16000.00,160.00,Contacto,3.13,161.24,258.76,BOH2,-2.9733,1.0540,15999.8486,1.0583,-2.6748,15999.7509,2.1677,1.8735,15999.9740,86.87,258.76,350069.28,6500040.00,1861.44
33,16500.00,165.00,Fractura,8.40,162.66,257.34,BOH1,-3.0416,0.9354,16500.0091,0.3083,-3.4854,16499.7424,2.6525,2.4691,16499.8503,81.60,257.34,350071.45,6500041.25,1857.11
34,17000.00,170.00,Veta,6.92,165.13,254.87,BOH1,-3.2796,0.6037,17000.0140,1.3044,-2.5893,16999.8198,2.3721,2.3825,16999.9226,83.08,254.87,350073.61,6500042.50,1852.78
35,17500.00,175.00,Falla,1.30,178.71,241.29,BOH1,-3.5933,-0.3473,17500.2061,1.5718,-2.7380,17500.0403,1.9138,2.9776,17499.7755,88.70,241.29,350075.78,6500043.75,1848.45
36,18000.00,180.00,Contacto,5.77,162.12,257.88,BOH2,-3.1017,0.8947,17999.8950,0.3809,-3.3900,18000.1584,2.4816,2.2561,18000.0624,84.23,257.88,350077.94,6500045.00,1844.12
37,18500.00,185.00,Fractura,2.05,178.06,241.94,BOH2,-3.0146,0.2661,18499.7049,0.9997,-3.2956,18500.2962,2.0788,3.0934,18499.9086,87.95,241.94,350080.11,6500046.25,1839.79
38,19000.00,190.00,Veta,3.68,163.86,256.14,BOH2,-3.1373,0.7952,18999.9009,0.3667,-3.4763,18999.8928,2.4863,2.3968,18999.7285,86.32,256.14,350082.27,6500047.50,1835.46
39,19500.00,195.00,Falla,0.79,179.67,240.33,BOH1,-3.0696,0.1235,19500.1941,2.0642,-2.2662,19500.0718,1.6167,2.7540,19500.1309,89.21,240.33,350084.44,6500048.75,1831.13
40,20000.00,200.00,Contacto,3.49,175.44,244.56,BOH1,-3.5936,-0.1761,19999.9347,0.8671,-3.3639,20000.0300,1.9056,2.7192,20000.2011,86.51,244.56,350086.60,6500050.00,1826.79
41,20500.00,205.00,Fractura,5.85,161.85,258.15,BOH1,-2.7375,1.2687,20499.8606,0.5902,-3.1690,20499.8334,2.0828,1.8358,20499.8035,84.15,258.15,350088.77,6500051.25,1822.46
42,21000.00,210.00,Veta,9.01,173.64,246.36,BOH2,-3.4330,0.0741,20999.8168,1.1202,-3.0615,20999.9468,1.4720,2.1465,21000.2536,80.99,246.36,350090.93,6500052.50,1818.13
43,21500.00,215.00,Falla,1.56,167.13,252.87,BOH2,-3.5001,0.3025,21499.9930,0.5497,-3.4195,21499.9907,2.1588,2.3255,21500.1786,88.44,252.87,350093.10,6500053.75,1813.80
44,22000.00,220.00,Contacto,3.36,168.11,251.89,BOH1,-3.5101,0.2509,21999.7249,1.1414,-2.8633,21999.8702,1.6764,1.9201,22000.1831,86.64,251.89,350095.26,6500055.00,1809.47
45,22500.00,225.00,Fractura,2.01,170.60,249.40,BOH1,-2.9954,0.6554,22500.1127,0.6365,-3.4527,22500.1550,2.3619,2.8002,22499.7279,87.99,249.40,350097.43,6500056.25,1805.14
46,23000.00,230.00,Veta,0.32,163.48,256.52,BOH1,-2.7883,1.1585,22999.8976,0.2887,-3.5390,23000.1510,2.1685,2.0494,23000.1750,89.68,256.52,350099.59,6500057.50,1800.81
47,23500.00,235.00,Falla,3.75,169.00,251.00,BOH2,-3.3094,0.4133,23500.1987,1.3265,-2.7090,23499.9796,2.0239,2.3368,23500.2886,86.25,251.00,350101.76,6500058.75,1796.48
48,24000.00,240.00,Contacto,0.24,179.63,240.37,BOH2,-3.6087,-0.4134,24000.2953,1.5944,-2.7352,23999.8539,2.0204,3.1547,23999.9589,89.76,240.37,350103.92,6500060.00,1792.15
49,24500.00,245.00,Fractura,4.58,162.84,257.16,BOH2,-2.6463,1.3241,24499.8300,0.5914,-3.2097,24500.1419,2.5886,2.4193,24499.8374,85.42,257.16,350106.09,6500061.25,1787.82
50,25000.00,250.00,Veta,1.34,169.58,250.42,BOH1,-3.4399,0.2571,24999.8772,1.2246,-2.8308,25000.2461,1.8399,2.1984,24999.7660,88.66,250.42,350108.25,6500062.50,1783.49
51,25500.00,255.00,Falla,27.33,30.78,90.78,BOH1,2.7917,1.6887,25499.8859,-3.0123,1.3086,25500.1200,0.1169,-3.1010,25500.0326,62.67,90.78,350110.42,6500063.75,1779.16
52,26000.00,260.00,Contacto,25.07,31.33,91.33,BOH1,2.7802,1.7191,26000.2109,-2.5247,1.7843,25999.7350,0.5461,-2.7018,26000.0394,64.93,91.33,350112.58,6500065.00,1774.83
53,26500.00,265.00,Fractura,26.16,28.45,88.45,BOH2,2.3451,1.0657,26500.1180,-2.4932,1.8738,26499.7090,-0.5373,-3.6250,26499.8310,63.84,88.45,350114.75,6500066.25,1770.50
54,27000.00,270.00,Veta,34.30,154.02,265.98,BOH1,-2.6409,1.6041,26999.7828,0.6221,-2.7676,27000.0759,2.6713,1.8160,26999.8703,55.70,265.98,350116.91,6500067.50,1766.17
55,27500.00,275.00,Falla,33.87,153.40,266.60,BOH1,-2.8264,1.4342,27500.2758,0.4853,-2.8723,27499.8004,2.2118,1.3088,27500.0328,56.13,266.60,350119.08,6500068.75,1761.84
56,28000.00,280.00,Contacto,32.29,151.98,268.02,BOH1,-2.4208,1.8737,28000.1459,0.0418,-3.2408,28000.0899,2.3385,1.3265,27999.9082,57.71,268.02,350121.24,6500070.00,1757.51
57,28500.00,285.00,Fractura,29.78,28.38,88.38,BOH2,2.3057,1.0216,28500.0645,-2.6919,1.6763,28500.2670,0.3281,-2.7560,28500.1243,60.22,88.38,350123.41,6500071.25,1753.18
58,29000.00,290.00,Veta,26.75,146.23,273.77,BOH1,-2.8642,1.5400,29000.1035,-0.5366,-3.4958,29000.2709,2.3623,0.9172,28999.8558,63.25,273.77,350125.57,6500072.50,1748.85
59,29500.00,295.00,Falla,26.87,25.85,85.85,BOH1,2.8215,1.3487,29499.9125,-2.2132,2.1966,29499.7452,-0.0823,-3.0194,29499.8931,63.13,85.85,350127.74,6500073.75,1744.52
60,30000.00,300.00,Contacto,34.46,147.63,272.37,BOH2,-2.8487,1.5327,29999.7867,-0.2155,-3.2567,30000.0767,2.5532,1.2131,30000.2774,55.54,272.37,350129.90,6500075.00,1740.19
61,30500.00,305.00,Fractura,25.13,29.80,89.80,BOH1,3.0862,1.9089,30500.2257,-2.2777,2.0634,30500.2400,0.2508,-2.9131,30499.7567,64.87,89.80,350132.07,6500076.25,1735.86
62,31000.00,310.00,Veta,28.15,153.82,266.18,BOH2,-2.5172,1.7328,30999.8546,-0.0403,-3.4199,30999.9534,2.8564,1.9859,31000.0829,61.85,266.18,350134.23,6500077.50,1731.53
63,31500.00,315.00,Falla,27.87,32.45,92.45,BOH1,2.7275,1.7515,31500.1372,-3.3135,0.9701,31500.1222,-0.2976,-3.6052,31500.1099,62.13,92.45,350136.40,6500078.75,1727.20
64,32000.00,320.00,Contacto,29.70,25.31,85.31,BOH2,3.2957,1.7826,32000.2967,-2.2212,2.1964,32000.1881,-0.6667,-3.5713,31999.8544,60.30,85.31,350138.56,6500080.00,1722.87
65,32500.00,325.00,Fractura,30.66,25.89,85.89,BOH1,3.0414,1.5717,32500.2981,-2.7056,1.7036,32500.0523,-0.4240,-3.3635,32500.1035,59.34,85.89,350140.73,6500081.25,1718.54
66,33000.00,330.00,Veta,30.23,26.63,86.63,BOH2,3.1804,1.7654,33000.0349,-2.8995,1.4985,33000.0596,0.1339,-2.8490,33000.1457,59.77,86.63,350142.89,6500082.50,1714.21
67,33500.00,335.00,Falla,26.84,33.40,93.40,BOH2,2.8352,1.9326,33500.2573,-2.6210,1.6395,33500.2745,0.1412,-3.2168,33500.0855,63.16,93.40,350145.06,6500083.75,1709.88
68,34000.00,340.00,Contacto,29.41,33.15,93.15,BOH1,2.3198,1.3981,34000.0802,-2.5285,1.7381,34000.2576,0.5959,-2.7490,34000.0886,60.59,93.15,350147.22,6500085.00,1705.55
69,34500.00,345.00,Fractura,29.16,27.58,87.58,BOH1,2.5869,1.2429,34499.7370,-2.5738,1.8085,34500.2290,-0.4322,-3.4704,34500.2826,60.84,87.58,350149.39,6500086.25,1701.22
70,35000.00,350.00,Veta,30.83,148.09,271.91,BOH1,-2.9841,1.3894,34999.9861,-0.3715,-3.4389,34999.8941,3.2410,1.9349,34999.7168,59.17,271.91,350151.55,6500087.50,1696.89
71,35500.00,355.00,Falla,32.53,152.84,267.16,BOH2,-3.1802,1.0941,35500.2328,-0.1445,-3.4727,35499.8015,3.1514,2.2054,35500.0154,57.47,267.16,350153.72,6500088.75,1692.56
72,36000.00,360.00,Contacto,31.50,32.42,92.42,BOH2,3.1258,2.1475,36000.0250,-2.6864,1.5979,35999.8369,-0.0699,-3.3759,35999.7122,58.50,92.42,350155.88,6500090.00,1688.23
73,36500.00,365.00,Fractura,28.52,152.37,267.63,BOH1,-2.8148,1.4706,36500.2228,0.3088,-2.9946,36499.9991,3.0069,2.0250,36500.1306,61.48,267.63,350158.05,6500091.25,1683.90
74,37000.00,370.00,Veta,29.83,148.25,271.75,BOH1,-2.4311,1.9395,37000.0397,-0.3372,-3.4137,36999.8833,2.4083,1.1141,36999.9137,60.17,271.75,350160.21,6500092.50,1679.57
75,37500.00,375.00,Falla,34.63,149.35,270.65,BOH2,-2.5815,1.7685,37500.1980,0.1200,-3.0188,37500.1836,2.4586,1.2474,37500.1987,55.37,270.65,350162.38,6500093.75,1675.24
76,38000.00,380.00,Contacto,5.68,120.53,180.53,BOH1,-1.8829,2.4649,38000.0156,-1.8676,-3.0701,37999.7884,3.3727,0.2274,37999.7398,84.32,180.53,350164.54,6500095.00,1670.91
77,38500.00,385.00,Fractura,6.40,58.37,1.63,BOH1,1.6680,2.7064,38500.0322,-3.3921,-0.1282,38500.2025,1.4891,-2.8132,38500.1935,83.60,1.63,350166.71,6500096.25,1666.58
78,39000.00,390.00,Veta,13.47,61.98,358.02,BOH1,1.2935,2.6047,38999.8840,-3.6091,-0.5456,38999.8118,1.2519,-3.1228,39000.2529,76.53,358.02,350168.87,6500097.50,1662.25
79,39500.00,395.00,Falla,11.61,60.88,359.12,BOH1,1.1321,2.3603,39499.7577,-2.9532,0.1729,39500.2125,1.3394,-3.0150,39499.8530,78.39,359.12,350171.04,6500098.75,1657.92
80,40000.00,400.00,Contacto,12.79,57.27,2.73,BOH1,2.2063,3.1602,39999.9845,-2.8667,0.4561,39999.9129,1.4172,-2.8596,40000.1603,77.21,2.73,350173.21,6500100.00,1653.59
81,40500.00,405.00,Fractura,13.34,58.21,1.79,BOH1,1.9872,3.0130,40499.7633,-3.6594,-0.3866,40499.8005,1.2113,-3.0873,40500.0494,76.66,1.79,350175.37,6500101.25,1649.26
82,41000.00,410.00,Veta,9.93,119.39,179.39,BOH2,-1.3600,2.9646,40999.9507,-1.5391,-2.6552,40999.7010,3.2788,0.0703,40999.9881,80.07,179.39,350177.54,6500102.50,1644.93
83,41500.00,415.00,Falla,7.87,60.75,359.25,BOH1,1.4441,2.6625,41500.2156,-2.7667,0.3667,41499.8881,2.0865,-2.2653,41500.0320,82.13,359.25,350179.70,6500103.75,1640.60
84,42000.00,420.00,Contacto,14.37,64.12,355.88,BOH1,1.6087,3.0792,42000.2564,-3.4974,-0.5585,42000.0616,1.9321,-2.4773,41999.7511,75.63,355.88,350181.87,6500105.00,1636.27
85,42500.00,425.00,Fractura,8.68,115.34,175.34,BOH1,-0.9584,3.2701,42499.7820,-2.2699,-3.0761,42500.1708,3.4066,-0.0157,42499.7925,81.32,175.34,350184.03,6500106.25,1631.94
86,43000.00,430.00,Veta,11.14,59.34,0.66,BOH1,2.0406,3.1530,42999.7560,-2.8757,0.3355,43000.2156,1.8594,-2.4641,43000.1660,78.86,0.66,350186.20,6500107.50,1627.61
87,43500.00,435.00,Falla,5.03,60.56,359.44,BOH2,1.0882,2.2923,43499.9972,-3.1165,0.0275,43500.2329,1.1369,-3.2113,43500.2659,84.97,359.44,350188.36,6500108.75,1623.28
88,44000.00,440.00,Contacto,12.41,115.64,175.64,BOH2,-1.3839,2.8523,43999.9296,-1.5106,-2.3396,43999.7058,3.3413,-0.0659,44000.0123,77.59,175.64,350190.53,6500110.00,1618.95
89,44500.00,445.00,Fractura,6.88,121.54,181.54,BOH2,-1.4019,2.9649,44499.8379,-1.7733,-3.0514,44499.7154,3.2823,0.1936,44500.0278,83.12,181.54,350192.69,6500111.25,1614.62
90,45000.00,450.00,Veta,12.73,121.13,181.13,BOH2,-2.0409,2.3184,45000.2480,-1.8191,-3.0669,45000.1493,2.8982,-0.2133,44999.8936,77.27,181.13,350194.86,6500112.50,1610.29
91,45500.00,455.00,Falla,10.31,119.19,179.19,BOH2,-1.6149,2.7054,45499.9580,-1.4396,-2.5401,45499.7049,3.2552,0.0355,45500.0748,79.69,179.19,350197.02,6500113.75,1605.96
92,46000.00,460.00,Contacto,7.99,64.86,355.14,BOH1,1.0520,2.5774,46000.2079,-3.5131,-0.6185,46000.0324,1.5304,-2.8896,45999.8269,82.01,355.14,350199.19,6500115.00,1601.63
93,46500.00,465.00,Fractura,10.00,64.44,355.56,BOH2,1.0014,2.4960,46499.7303,-3.3495,-0.4300,46500.0186,2.1476,-2.2665,46499.7719,80.00,355.56,350201.35,6500116.25,1597.30
94,47000.00,470.00,Veta,10.25,115.40,175.40,BOH2,-1.8507,2.3793,47000.2307,-1.3999,-2.2106,47000.2107,3.3961,-0.0232,46999.7036,79.75,175.40,350203.52,6500117.50,1592.97
95,47500.00,475.00,Falla,5.69,59.67,0.33,BOH2,1.1399,2.2772,47499.9883,-2.6760,0.5171,47500.0331,1.8995,-2.4309,47500.0101,84.31,0.33,350205.68,6500118.75,1588.64
96,48000.00,480.00,Contacto,7.20,121.99,181.99,BOH1,-1.8306,2.5443,48000.1907,-1.7953,-3.1077,48000.0939,3.3961,0.3335,48000.1102,82.80,181.99,350207.85,6500120.00,1584.31
97,48500.00,485.00,Fractura,13.18,56.98,3.02,BOH1,1.2855,2.2177,48499.7509,-3.4635,-0.1258,48499.9198,1.3102,-2.9597,48499.9855,76.82,3.02,350210.01,6500121.25,1579.98
98,49000.00,490.00,Veta,8.90,57.76,2.24,BOH2,1.7540,2.7454,49000.1532,-2.9207,0.3762,49000.2780,1.0026,-3.2856,49000.0370,81.10,2.24,350212.18,6500122.50,1575.65
99,49500.00,495.00,Falla,10.84,59.20,0.80,BOH2,1.4090,2.5104,49500.0075,-3.0873,0.1317,49500.2235,1.2328,-3.0877,49500.1958,79.16,0.80,350214.34,6500123.75,1571.32
100,50000.00,500.00,Contacto,6.48,60.74,359.26,BOH2,1.2471,2.4651,50000.0792,-2.7966,0.3372,49999.9625,1.3525,-2.9992,49999.7380,83.52,359.26,350216.51,6500125.00,1566.99

# RESUMEN ESTADÍSTICO
# Alpha promedio: 12.19° (min: 0.24°, max: 34.63°)
# Beta promedio: 85.95° (min: 0.17°, max: 179.83°)
# Distribución por tipo:
# Fractura: 25
# Veta: 25
# Falla: 25
# Contacto: 25
# Orientaciones dominantes:
# Set 1 (1-25): ENE sub-vertical (Dip Dir ~60-80°, Dip ~-80 a -90°)
# Set 2 (26-50): WSW sub-vertical (Dip Dir ~240-260°, Dip ~-80 a -90°)
# Set 3 (51-75): EW (Dip Dir ~90°/270°, Dip ~-60°)
# Set 4 (76-100): NS (Dip Dir ~0°/180°, Dip ~-80°)
