# REPORTE DE MEDICIÓN ESTRUCTURAL - GeoStXR
# Fecha: 01/01/2025, 12:00:00
# Proyecto: Grid 5 Sondajes
# Azimut Sondajes: 90° (Este)
# Inclinacion Sondajes: -70°
# Profundidad Total: 150000.00 cm (1500.00 m)
# Total de Planos: 50

Plano,Profundidad_cm,Profundidad_m,Tipo,Alpha_grados,Beta_grados,Azimuth_grados,BOH_Referencia,P1_X,P1_Y,P1_Z,P2_X,P2_Y,P2_Z,P3_X,P3_Y,P3_Z,Dip_Real_grados,Dip_Direction_grados,UTM_Este_m,UTM_Norte_m,Elevacion_m,Sondaje_ID
26,10000.00,100.00,Fractura,82.56,86.78,86.78,BOH1,2.6789,0.7890,9999.1098,-1.7890,2.7890,9999.3210,-0.3456,-2.8901,9998.9876,82.56,86.78,350086.60,6500050.00,1900.00,DH-R01-C03
27,15000.00,150.00,Contacto,80.23,87.45,87.45,BOH2,2.7890,0.8901,14998.9876,-1.8901,2.8901,14999.1098,-0.4567,-3.0012,14998.7654,80.23,87.45,350086.60,6500050.00,1850.00,DH-R01-C03
28,20000.00,200.00,Estratificacion,45.67,90.00,90.00,BOH1,1.5000,0.0000,19999.9876,-1.5000,0.0000,20000.0124,0.0000,-2.0000,20000.0000,45.67,90.00,350086.60,6500050.00,1800.00,DH-R01-C03
29,25000.00,250.00,Fractura,83.45,88.67,88.67,BOH2,2.8901,0.9012,24998.7654,-1.9012,2.9012,24998.9876,-0.5678,-3.1123,24998.5432,83.45,88.67,350086.60,6500050.00,1750.00,DH-R01-C03
30,30000.00,300.00,Veta,82.12,85.34,85.34,BOH1,2.9012,0.0123,29998.5432,-1.0123,2.0123,29998.7654,-0.6789,-3.2234,29998.3210,82.12,85.34,350086.60,6500050.00,1700.00,DH-R01-C03
31,1000.00,10.00,Fractura,79.67,82.89,82.89,BOH2,2.0123,0.3456,999.6543,-1.1234,2.1234,999.7654,-0.7890,-2.2345,999.5432,79.67,82.89,350129.90,6500075.00,1990.00,DH-R01-C04
32,2000.00,20.00,Contacto,80.89,84.56,84.56,BOH1,2.1234,0.4567,1999.5432,-1.2345,2.2345,1999.6543,-0.8901,-2.3456,1999.4321,80.89,84.56,350129.90,6500075.00,1980.00,DH-R01-C04
33,3000.00,30.00,Fractura,81.45,83.78,83.78,BOH2,2.2345,0.5678,2999.4321,-1.3456,2.3456,2999.5432,-0.9012,-2.4567,2999.3210,81.45,83.78,350129.90,6500075.00,1970.00,DH-R01-C04
34,4000.00,40.00,Veta,82.78,85.67,85.67,BOH1,2.3456,0.6789,3999.3210,-1.4567,2.4567,3999.4321,-0.0123,-2.5678,3999.1098,82.78,85.67,350129.90,6500075.00,1960.00,DH-R01-C04
35,5000.00,50.00,Fractura,81.23,84.45,84.45,BOH2,2.4567,0.7890,4999.1098,-1.5678,2.5678,4999.3210,-0.1234,-2.6789,4998.9876,81.23,84.45,350129.90,6500075.00,1950.00,DH-R01-C04
36,10000.00,100.00,Fractura,81.67,85.89,85.89,BOH1,2.5678,0.8901,9998.9876,-1.6789,2.6789,9999.1098,-0.2345,-2.7890,9998.7654,81.67,85.89,350129.90,6500075.00,1900.00,DH-R01-C04
37,15000.00,150.00,Contacto,79.34,86.23,86.23,BOH2,2.6789,0.9012,14998.7654,-1.7890,2.7890,14998.9876,-0.3456,-2.8901,14998.5432,79.34,86.23,350129.90,6500075.00,1850.00,DH-R01-C04
38,20000.00,200.00,Estratificacion,45.67,90.00,90.00,BOH1,1.5000,0.0000,19999.9876,-1.5000,0.0000,20000.0124,0.0000,-2.0000,20000.0000,45.67,90.00,350129.90,6500075.00,1800.00,DH-R01-C04
39,25000.00,250.00,Fractura,82.56,87.34,87.34,BOH2,2.7890,0.0123,24998.5432,-1.8901,2.8901,24998.7654,-0.4567,-3.0012,24998.3210,82.56,87.34,350129.90,6500075.00,1750.00,DH-R01-C04
40,30000.00,300.00,Veta,81.89,84.12,84.12,BOH1,2.8901,0.1234,29998.3210,-1.9012,2.9012,29998.5432,-0.5678,-3.1123,29998.1098,81.89,84.12,350129.90,6500075.00,1700.00,DH-R01-C04
41,1000.00,10.00,Fractura,78.45,81.67,81.67,BOH2,1.9012,0.4567,999.5432,-1.0123,2.0123,999.6543,-0.6789,-2.1234,999.4321,78.45,81.67,350025.00,6499875.00,1990.00,DH-R02-C01
42,2000.00,20.00,Contacto,79.67,83.34,83.34,BOH1,2.0123,0.5678,1999.4321,-1.1234,2.1234,1999.5432,-0.7890,-2.2345,1999.3210,79.67,83.34,350025.00,6499875.00,1980.00,DH-R02-C01
43,3000.00,30.00,Fractura,80.23,82.56,82.56,BOH2,2.1234,0.6789,2999.3210,-1.2345,2.2345,2999.4321,-0.8901,-2.3456,2999.1098,80.23,82.56,350025.00,6499875.00,1970.00,DH-R02-C01
44,4000.00,40.00,Veta,81.56,84.45,84.45,BOH1,2.2345,0.7890,3999.1098,-1.3456,2.3456,3999.3210,-0.9012,-2.4567,3998.9876,81.56,84.45,350025.00,6499875.00,1960.00,DH-R02-C01
45,5000.00,50.00,Fractura,80.12,83.23,83.23,BOH2,2.3456,0.8901,4998.9876,-1.4567,2.4567,4999.1098,-0.0123,-2.5678,4998.7654,80.12,83.23,350025.00,6499875.00,1950.00,DH-R02-C01
46,10000.00,100.00,Fractura,80.45,84.67,84.67,BOH1,2.4567,0.9012,9998.7654,-1.5678,2.5678,9998.9876,-0.1234,-2.6789,9998.5432,80.45,84.67,350025.00,6499875.00,1900.00,DH-R02-C01
47,15000.00,150.00,Contacto,78.23,85.34,85.34,BOH2,2.5678,0.0123,14998.5432,-1.6789,2.6789,14998.7654,-0.2345,-2.7890,14998.3210,78.23,85.34,350025.00,6499875.00,1850.00,DH-R02-C01
48,20000.00,200.00,Estratificacion,45.67,90.00,90.00,BOH1,1.5000,0.0000,19999.9876,-1.5000,0.0000,20000.0124,0.0000,-2.0000,20000.0000,45.67,90.00,350025.00,6499875.00,1800.00,DH-R02-C01
49,25000.00,250.00,Fractura,81.34,86.12,86.12,BOH2,2.6789,0.1234,24998.3210,-1.7890,2.7890,24998.5432,-0.3456,-2.8901,24997.9876,81.34,86.12,350025.00,6499875.00,1750.00,DH-R02-C01
50,30000.00,300.00,Veta,80.67,82.89,82.89,BOH1,2.7890,0.2345,29997.9876,-1.8901,2.8901,29998.3210,-0.4567,-3.0012,29997.7654,80.67,82.89,350025.00,6499875.00,1700.00,DH-R02-C01

# RESUMEN ESTADÍSTICO
# Total de Sondajes: 5
# Total de Planos: 50 (10 por sondaje)
# Alpha promedio: 81.67° (min: 78.45°, max: 84.56°)
# Beta promedio: 85.63° (min: 81.67°, max: 88.67°)
# Distribución por tipo:
# Fractura: 30
# Contacto: 10
# Veta: 10
# Estratificación: 5
