# REPORTE DE MEDICIÓN ESTRUCTURAL - GeoStXR
# Fecha: 01/01/2025, 12:00:00
# Proyecto: Grid de Sondajes 100DH
# Orientación Filas: N30°W
# Azimut Sondajes: 90° (Este)
# Inclinación Sondajes: -70°
# Espaciado: 50 m entre sondajes
# Profundidad Total: 300 m
# Total de Planos: 1000

Plano,Profundidad_cm,Profundidad_m,Tipo,Alpha_grados,Beta_grados,Azimuth_grados,BOH_Referencia,P1_X,P1_Y,P1_Z,P2_X,P2_Y,P2_Z,P3_X,P3_Y,P3_Z,Dip_Real_grados,Dip_Direction_grados,UTM_Este_m,UTM_Norte_m,Elevacion_m,DHID,Row,Col
11,1000.00,10.00,Fractura,81.23,84.67,84.67,BOH2,2.2345,0.1234,999.8765,-1.3456,2.3456,999.9876,-0.8901,-2.4567,999.7654,81.23,84.67,350043.30,6500025.00,1990.00,DH-R01-C02,1,2
12,2000.00,20.00,Contacto,82.89,86.12,86.12,BOH1,2.3456,0.2345,1999.7654,-1.4567,2.4567,1999.8765,-0.9012,-2.5678,1999.6543,82.89,86.12,350043.30,6500025.00,1980.00,DH-R01-C02,1,2
13,3000.00,30.00,Fractura,83.56,85.78,85.78,BOH2,2.4567,0.3456,2999.6543,-1.5678,2.5678,2999.7654,-0.0123,-2.6789,2999.5432,83.56,85.78,350043.30,6500025.00,1970.00,DH-R01-C02,1,2
14,4000.00,40.00,Veta,84.23,87.45,87.45,BOH1,2.5678,0.4567,3999.5432,-1.6789,2.6789,3999.6543,-0.1234,-2.7890,3999.4321,84.23,87.45,350043.30,6500025.00,1960.00,DH-R01-C02,1,2
15,5000.00,50.00,Fractura,82.67,84.23,84.23,BOH2,2.6789,0.5678,4999.4321,-1.7890,2.7890,4999.5432,-0.2345,-2.8901,4999.3210,82.67,84.23,350043.30,6500025.00,1950.00,DH-R01-C02,1,2
16,10000.00,100.00,Fractura,83.34,86.89,86.89,BOH1,2.7890,0.6789,9999.3210,-1.8901,2.8901,9999.4321,-0.3456,-3.0012,9999.1098,83.34,86.89,350043.30,6500025.00,1900.00,DH-R01-C02,1,2
17,15000.00,150.00,Contacto,81.78,87.56,87.56,BOH2,2.8901,0.7890,14999.1098,-1.9012,2.9012,14999.3210,-0.4567,-3.1123,14998.9876,81.78,87.56,350043.30,6500025.00,1850.00,DH-R01-C02,1,2
18,20000.00,200.00,Estratificacion,45.67,90.00,90.00,BOH1,1.5000,0.0000,19999.9876,-1.5000,0.0000,20000.0124,0.0000,-2.0000,20000.0000,45.67,90.00,350043.30,6500025.00,1800.00,DH-R01-C02,1,2
19,25000.00,250.00,Fractura,84.45,88.34,88.34,BOH2,2.9012,0.8901,24998.9876,-1.0123,2.0123,24999.1098,-0.5678,-3.2234,24998.7654,84.45,88.34,350043.30,6500025.00,1750.00,DH-R01-C02,1,2
20,30000.00,300.00,Veta,83.12,85.67,85.67,BOH1,2.0123,0.9012,29998.7654,-1.1234,2.1234,29998.9876,-0.6789,-3.3345,29998.5432,83.12,85.67,350043.30,6500025.00,1700.00,DH-R01-C02,1,2

# RESUMEN ESTADÍSTICO - GRID 100DH
# Total de Sondajes: 100 (10 filas x 10 columnas)
# Orientación de Filas: N30°W (330°)
# Azimut Sondajes: 90° (Este)
# Inclinación Sondajes: -70°
# Espaciado: 50 m entre sondajes
# Profundidad Total: 300 m
# Total de Planos Estructurales: 1000 (10 por sondaje)
# 
# Distribución por Tipo de Estructura:
# Fracturas Subverticales: 600 (60%)
# Contactos: 200 (20%)
# Vetas: 150 (15%)
# Estratificación: 50 (5%)
#
# Características de Fracturas Subverticales:
# Dip promedio: 83.2° (min: 80.0°, max: 89.5°)
# Dip Direction promedio: 86.4° (min: 82.0°, max: 90.0°)
# Orientación dominante: ENE sub-vertical
#
# Estratificación:
# Dip promedio: 45.7° (min: 40.0°, max: 50.0°)
# Dip Direction: 90° (Este)
# Profundidad de corte: 200 m (en todos los sondajes)
#
# Coordenadas de Referencia:
# Punto Base: 350000.00 E, 6500000.00 N, 2000.00 m elevación
# Extensión Este-Oeste: 450 m (9 x 50 m)
# Extensión Norte-Sur: 433 m (N30°W)
# Área total: 194,850 m² (0.195 km²)
#
# Datos por Sondaje:
# - 10 mediciones estructurales distribuidas cada 30 m
# - Fracturas entre 10-180 m de profundidad
# - Estratificación a 200 m de profundidad
# - Fracturas adicionales entre 220-300 m
